seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chrX	9983037	9983224	188	*	X00008	55841	9983795	10112518	128724	+	570	upstream	570	WWC3
chrX	13671083	13671363	281	*	X00009	170082	13671225	13682247	11023	+	0	overlapStart	0	TCEANC
chrX	13752689	13752942	254	*	X00010	6399	13730361	13752754	22394	-	0	overlapStart	0	TRAPPC2
chrX	13752689	13752942	254	*	X00010	8481	13752832	13787480	34649	+	0	overlapStart	0	OFD1
chrX	14891101	14891249	149	*	X00011	158747	14891527	14939459	47933	+	277	upstream	277	MOSPD2
chrX	14891101	14891249	149	*	X00011	2187	14861529	14891184	29656	-	0	overlapStart	0	FANCB
chrX	14891501	14891653	153	*	X00012	158747	14891527	14939459	47933	+	0	overlapStart	0	MOSPD2
chrX	14891501	14891653	153	*	X00012	2187	14861529	14891184	29656	-	316	upstream	316	FANCB
chrX	15353567	15353988	422	*	X00013	5277	15337573	15353676	16104	-	0	overlapStart	0	PIGA
chrX	15511329	15511655	327	*	X00014	100532742	15363713	15509432	145720	-	1896	upstream	1896	PIR-FIGF
chrX	15511329	15511655	327	*	X00014	8544	15402924	15511711	108788	-	0	inside	55	PIR
chrX	15692940	15693149	210	*	X00015	340591	15693039	15721474	28436	+	0	overlapStart	0	CA5BP1
chrX	15755970	15756140	171	*	X00017	11238	15756412	15805748	49337	+	271	upstream	271	CA5B
chrX	15756362	15756468	107	*	X00018	11238	15756412	15805748	49337	+	0	overlapStart	0	CA5B
chrX	15872896	15872996	101	*	X00019	8905	15843929	15873137	29209	-	0	inside	140	AP1S2
chrX	15873082	15873250	169	*	X00020	8905	15843929	15873137	29209	-	0	overlapStart	0	AP1S2
chrX	16737498	16737824	327	*	X00021	94056	16737707	16780807	43101	+	0	overlapStart	0	SYAP1
chrX	16804244	16804286	43	*	X00022	55787	16804555	16862642	58088	+	268	upstream	268	TXLNG
chrX	16804437	16804692	256	*	X00023	55787	16804555	16862642	58088	+	0	overlapStart	0	TXLNG
chrX	16888406	16888558	153	*	X00024	5931	16862775	16888534	25760	-	0	overlapStart	0	RBBP7
chrX	16888734	16888785	52	*	X00025	5931	16862775	16888534	25760	-	199	upstream	199	RBBP7
chrX	16964590	16964636	47	*	X00026	9185	16964814	17171403	206590	+	177	upstream	177	REPS2
chrX	17755102	17755353	252	*	X00028	6322	17755592	17773105	17514	+	238	upstream	238	SCML1
chrX	17755604	17755618	15	*	X00029	6322	17755592	17773105	17514	+	0	inside	11	SCML1
chrX	19361997	19362099	103	*	X00030	5160	19362011	19379825	17815	+	0	overlapStart	0	PDHA1
chrX	20159926	20160022	97	*	X00031	1964	20142636	20159966	17331	-	0	overlapStart	0	EIF1AX
chrX	20160224	20160231	8	*	X00032	1964	20142636	20159966	17331	-	257	upstream	257	EIF1AX
chrX	23761270	23761672	403	*	X00034	23597	23721777	23761407	39631	-	0	overlapStart	0	ACOT9
chrX	23801215	23801277	63	*	X00035	6303	23801275	23804327	3053	+	0	overlapStart	0	SAT1
chrX	23925778	23926266	489	*	X00036	254158	23926123	23957624	31502	+	0	overlapStart	0	CXorf58
chrX	23925778	23926266	489	*	X00036	79135	23851465	23926057	74593	-	0	overlapStart	0	APOO
chrX	24168311	24168547	237	*	X00039	100873922	24164342	24167771	3430	-	539	upstream	539	ZFX-AS1
chrX	24711732	24712078	347	*	X00040	5422	24712058	25015102	303045	+	0	overlapStart	0	POLA1
chrX	40439870	40440271	402	*	X00044	10159	40440216	40465888	25673	+	0	overlapStart	0	ATP6AP2
chrX	40594971	40595262	292	*	X00045	9282	40508795	40595136	86342	-	0	overlapStart	0	MED14
chrX	40944039	40944145	107	*	X00046	8239	40944888	41095832	150945	+	742	upstream	742	USP9X
chrX	41192633	41192807	175	*	X00047	1654	41192651	41223725	31075	+	0	overlapStart	0	DDX3X
chrX	41782731	41782881	151	*	X00050	8573	41374189	41782287	408099	-	443	upstream	443	CASK
chrX	41783016	41783073	58	*	X00051	8573	41374189	41782287	408099	-	728	upstream	728	CASK
chrX	43513834	43514026	193	*	X00052	4128	43514155	43606071	91917	+	128	upstream	128	MAOA
chrX	43514072	43514301	230	*	X00053	4128	43514155	43606071	91917	+	0	overlapStart	0	MAOA
chrX	44732127	44732390	264	*	X00054	7403	44732423	44971845	239423	+	32	upstream	32	KDM6A
chrX	46696326	46696517	192	*	X00056	6102	46696347	46741791	45445	+	0	overlapStart	0	RP2
chrX	46771657	46771974	318	*	X00057	9767	46771736	46920641	148906	+	0	overlapStart	0	JADE3
chrX	47004394	47004772	379	*	X00058	54539	47001615	47004609	2995	-	0	overlapStart	0	NDUFB11
chrX	47004394	47004772	379	*	X00058	8241	47004617	47046214	41598	+	0	overlapStart	0	RBM10
chrX	47077586	47077707	122	*	X00059	5127	47077528	47089394	11867	+	0	inside	57	CDK16
chrX	47420332	47420600	269	*	X00060	369	47420499	47431320	10822	+	0	overlapStart	0	ARAF
chrX	47509940	47510016	77	*	X00061	2002	47494919	47510003	15085	-	0	overlapStart	0	ELK1
chrX	47510151	47510597	447	*	X00062	2002	47494919	47510003	15085	-	147	upstream	147	ELK1
chrX	47518055	47518376	322	*	X00063	100133957	47518232	47519776	1545	+	0	overlapStart	0	UXT-AS1
chrX	47518055	47518376	322	*	X00063	8409	47511191	47518579	7389	-	0	inside	202	UXT
chrX	48379936	48380253	318	*	X00064	10682	48380164	48387104	6941	+	0	overlapStart	0	EBP
chrX	48659739	48660144	406	*	X00069	10013	48660287	48683380	23094	+	142	upstream	142	HDAC6
chrX	48660334	48660704	371	*	X00070	10013	48660287	48683380	23094	+	0	inside	46	HDAC6
chrX	48755018	48755233	216	*	X00073	10084	48755195	48760422	5228	+	0	overlapStart	0	PQBP1
chrX	48755018	48755233	216	*	X00073	10245	48750730	48755426	4697	-	0	inside	192	TIMM17B
chrX	48776241	48776314	74	*	X00074	11040	48770459	48776413	5955	-	0	inside	98	PIM2
chrX	48776515	48776530	16	*	X00075	11040	48770459	48776413	5955	-	101	upstream	101	PIM2
chrX	48815125	48815390	266	*	X00076	55593	48779303	48815648	36346	-	0	inside	257	OTUD5
chrX	48815637	48815859	223	*	X00077	55593	48779303	48815648	36346	-	0	overlapStart	0	OTUD5
